Added_Sugars,Added_Sugars/#agg,Alcohol,Alcohol/#agg,Calories,Calories/#agg,Display_Name,Drkgreen_Vegetables,Drkgreen_Vegetables/#agg,Drybeans_Peas,Drybeans_Peas/#agg,Factor,Factor/#agg,Food_Code,Food_Code/#agg,Fruits,Fruits/#agg,Grains,Grains/#agg,Increment,Increment/#agg,Meats,Meats/#agg,Milk,Milk/#agg,Multiplier,Multiplier/#agg,Oils,Oils/#agg,Orange_Vegetables,Orange_Vegetables/#agg,Other_Vegetables,Other_Vegetables/#agg,Portion_Amount,Portion_Amount/#agg,Portion_Default,Portion_Default/#agg,Portion_Display_Name,Saturated_Fats,Saturated_Fats/#agg,Solid_Fats,Solid_Fats/#agg,Soy,Soy/#agg,Starchy_vegetables,Starchy_vegetables/#agg,Vegetables,Vegetables/#agg,Whole_Grains,Whole_Grains/#agg
0,0,0,0,34.65,34.65,Low fat cream cheese,0,0,0,0,1,1,14303010,14303010,0,0,0,0,0.5,0.5,0,0,0,0,0.5,0.5,0,0,0,0,0,0,1,1,1,1,Tablespoon,1.6635,1.6635,23.76,23.76,0,0,0,0,0,0,0,0
0,0,0,0,23.1,23.1,Low fat cream cheese,0,0,0,0,1,1,14303010,14303010,0,0,0,0,0.5,0.5,0,0,0,0,0.5,0.5,0,0,0,0,0,0,1,1,2,2,"Tablespoon, whipped",1.109,1.109,15.84,15.84,0,0,0,0,0,0,0,0
0,0,0,0,70.56,70.56,American cheese (processed),0,0,0,0,1,1,14410200,14410200,0,0,0,0,0.5,0.5,0,0,0.37044,0.37044,0.5,0.5,0,0,0,0,0,0,1,1,1,1,slice (slice = 3/4 oz),3.2697,3.2697,48.56922,48.56922,0,0,0,0,0,0,0,0
0,0,0,0,94.92,94.92,American cheese (processed),0,0,0,0,0.25,0.25,14410200,14410200,0,0,0,0,0.25,0.25,0,0,0.49833,0.49833,1,1,0,0,0,0,0,0,0.25,0.25,2,2,cup shredded,4.39853,4.39853,65.33717,65.33717,0,0,0,0,0,0,0,0
0,0,0,0,58.8,58.8,American cheese (processed),0,0,0,0,1,1,14410200,14410200,0,0,0,0,0.5,0.5,0,0,0.3087,0.3087,0.5,0.5,0,0,0,0,0,0,1,1,2,2,cubic inch,2.72475,2.72475,40.47435,40.47435,0,0,0,0,0,0,0,0
0,0,0,0,31.08,31.08,Fat-free American cheese,0,0,0,0,1,1,14410350,14410350,0,0,0,0,0.5,0.5,0,0,0.49392,0.49392,0.5,0.5,0,0,0,0,0,0,1,1,1,1,slice (slice = 3/4 oz),0.105,0.105,0.6237,0.6237,0,0,0,0,0,0,0,0
0,0,0,0,41.81,41.81,Fat-free American cheese,0,0,0,0,0.25,0.25,14410350,14410350,0,0,0,0,0.25,0.25,0,0,0.66444,0.66444,1,1,0,0,0,0,0,0,0.25,0.25,2,2,cup shredded,0.14125,0.14125,0.83903,0.83903,0,0,0,0,0,0,0,0
0,0,0,0,23.976,23.976,Fat-free American cheese,0,0,0,0,1,1,14410350,14410350,0,0,0,0,0.5,0.5,0,0,0.38102,0.38102,0.5,0.5,0,0,0,0,0,0,1,1,2,2,cubic inch,0.081,0.081,0.48114,0.48114,0,0,0,0,0,0,0,0
4.11272,4.11272,0,0,100.24333,100.24333,Cheese spread or dip,0,0,0,0,1,1,14420100,14420100,0,0,0,0,0.5,0.5,0,0,0.60976,0.60976,0.5,0.5,0,0,0,0,0,0,1,1,2,2,slice Velveeta,4.60774,4.60774,65.05101,65.05101,0,0,0,0,0,0,0,0
7.25774,7.25774,0,0,176.9,176.9,Cheese spread or dip,0,0,0,0,0.25,0.25,14420100,14420100,0,0,0,0,1,1,0,0,1.07604,1.07604,0.25,0.25,0,0,0,0,0,0,4,4,1,1,Tablespoons,8.1313,8.1313,114.7959,114.7959,0,0,0,0,0,0,0,0
0.28282,0.28282,0,0,106.2,106.2,Cream cheese dip,0,0,0,0,2,2,14620100,14620100,0,0,0,0,1,1,0.0066,0.0066,0,0,0.5,0.5,0.49133,0.49133,0,0,0.0036,0.0036,2,2,1,1,Tablespoons,5.67,5.67,76.2912,76.2912,0,0,0,0,0.0036,0.0036,0,0
